title,datetime,link
Colorado Springs Utilities gives Microchip Technology Inc. confidential deal to cut rates,2017-01-08 00:00:00,https://news.google.com/./articles/CBMipwFodHRwczovL2dhemV0dGUuY29tL2J1c2luZXNzL2NvbG9yYWRvLXNwcmluZ3MtdXRpbGl0aWVzLWdpdmVzLW1pY3JvY2hpcC10ZWNobm9sb2d5LWluYy1jb25maWRlbnRpYWwtZGVhbC10by1jdXQtcmF0ZXMvYXJ0aWNsZV85ZGFmMzIzYS1lNzA2LTU2MDYtOGI3Ni0yMzQ4Y2MxMDhlYjcuaHRtbNIBqwFodHRwczovL2dhemV0dGUuY29tL2J1c2luZXNzL2NvbG9yYWRvLXNwcmluZ3MtdXRpbGl0aWVzLWdpdmVzLW1pY3JvY2hpcC10ZWNobm9sb2d5LWluYy1jb25maWRlbnRpYWwtZGVhbC10by1jdXQtcmF0ZXMvYXJ0aWNsZV85ZGFmMzIzYS1lNzA2LTU2MDYtOGI3Ni0yMzQ4Y2MxMDhlYjcuYW1wLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Knicks lift ban on Oakley after arrest,2017-02-14 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9uZXdzL2tuaWNrcy1saWZ0LWJhbi1vYWtsZXktYXJyZXN0LTE3MTg1ODU1MC0tbmJhLmh0bWzSAVdodHRwczovL3Nwb3J0cy55YWhvby5jb20vYW1waHRtbC9uZXdzL2tuaWNrcy1saWZ0LWJhbi1vYWtsZXktYXJyZXN0LTE3MTg1ODU1MC0tbmJhLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
"CenturyLink looks for boost from newer technologies, new products",2017-02-04 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL2dhemV0dGUuY29tL2J1c2luZXNzL2NlbnR1cnlsaW5rLWxvb2tzLWZvci1ib29zdC1mcm9tLW5ld2VyLXRlY2hub2xvZ2llcy1uZXctcHJvZHVjdHMvYXJ0aWNsZV9lYWQ0ZDU4Ny1kOTNkLTUwNGQtYWNkZC1jMmNjNWU5MTEyMTQuaHRtbNIBkwFodHRwczovL2dhemV0dGUuY29tL2J1c2luZXNzL2NlbnR1cnlsaW5rLWxvb2tzLWZvci1ib29zdC1mcm9tLW5ld2VyLXRlY2hub2xvZ2llcy1uZXctcHJvZHVjdHMvYXJ0aWNsZV9lYWQ0ZDU4Ny1kOTNkLTUwNGQtYWNkZC1jMmNjNWU5MTEyMTQuYW1wLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
W.L. Gore sells off three filtration product lines,2017-04-25 00:00:00,https://news.google.com/./articles/CBMigAFodHRwczovL3d3dy5kZWxhd2FyZW9ubGluZS5jb20vc3RvcnkvbW9uZXkvYnVzaW5lc3MvZGVsYXdhcmVpbmMvMjAxNy8wNC8yNS93bC1nb3JlLXNlbGxzLW9mZi1maWx0cmF0aW9uLXByb2R1Y3QtbGluZXMvMTAwOTAyMjg4L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Plug Power gets new board member amid shakeup,2017-05-15 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnRpbWVzdW5pb24uY29tLzdkYXktYnVzaW5lc3MvYXJ0aWNsZS9QbHVnLVBvd2VyLWdldHMtbmV3LWJvYXJkLW1lbWJlci1hbWlkLXNoYWtldXAtMTExNDYyMTcucGhw0gEA?hl=en-US&gl=US&ceid=US%3Aen
PepsiCo: Better Than Coca-Cola At Everything (Almost) (NASDAQ ...,2017-05-05 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNjk2MjctcGVwc2ljby1iZXR0ZXItY29jYS1jb2xhLWV2ZXJ5dGhpbmctYWxtb3N00gEA?hl=en-US&gl=US&ceid=US%3Aen
"Dealmaking expanded in April, but the pace slowed",2017-05-17 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnRoZW1pZGRsZW1hcmtldC5jb20vZGF0YS9kZWFsbWFraW5nLWV4cGFuZGVkLWluLWFwcmlsLWJ1dC10aGUtcGFjZS1zbG93ZWTSAQA?hl=en-US&gl=US&ceid=US%3Aen
FedEx Freight moving to new site on northern edge of Colorado Springs Airport,2017-05-03 00:00:00,https://news.google.com/./articles/CBMinAFodHRwczovL2dhemV0dGUuY29tL2J1c2luZXNzL2ZlZGV4LWZyZWlnaHQtbW92aW5nLXRvLW5ldy1zaXRlLW9uLW5vcnRoZXJuLWVkZ2Utb2YtY29sb3JhZG8tc3ByaW5ncy1haXJwb3J0L2FydGljbGVfMGVhMjhhNDgtNzQ5YS01MmE0LTlmYjktODdiMWM2OGRjOWQ0Lmh0bWzSAaABaHR0cHM6Ly9nYXpldHRlLmNvbS9idXNpbmVzcy9mZWRleC1mcmVpZ2h0LW1vdmluZy10by1uZXctc2l0ZS1vbi1ub3J0aGVybi1lZGdlLW9mLWNvbG9yYWRvLXNwcmluZ3MtYWlycG9ydC9hcnRpY2xlXzBlYTI4YTQ4LTc0OWEtNTJhNC05ZmI5LTg3YjFjNjhkYzlkNC5hbXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Entegris Increases Manufacturing Capacity For High-Performance ...,2017-06-28 00:00:00,https://news.google.com/./articles/CBMigAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2VudGVncmlzLWluY3JlYXNlcy1tYW51ZmFjdHVyaW5nLWNhcGFjaXR5LWZvci1oaWdoLXBlcmZvcm1hbmNlLW1hdGVyaWFscy0zMDA0ODA4NzkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Jonathan, once a ""New Town,"" celebrates 50 years | Chaska",2017-06-29 00:00:00,https://news.google.com/./articles/CBMiiAFodHRwczovL3d3dy5zd25ld3NtZWRpYS5jb20vY2hhc2thX2hlcmFsZC9qb25hdGhhbi1vbmNlLWEtbmV3LXRvd24tY2VsZWJyYXRlcy01MC15ZWFycy9hcnRpY2xlX2Y2ZmZmOGVkLTk3OTEtNTlkZC1hNDYyLWM3ZGQwNTkwOTZiZC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Three Albertsons stores in Colorado Springs to become Safeway groceries,2017-07-11 00:00:00,https://news.google.com/./articles/CBMilgFodHRwczovL2dhemV0dGUuY29tL2J1c2luZXNzL3RocmVlLWFsYmVydHNvbnMtc3RvcmVzLWluLWNvbG9yYWRvLXNwcmluZ3MtdG8tYmVjb21lLXNhZmV3YXktZ3JvY2VyaWVzL2FydGljbGVfZDQyYTBlZGQtMWE2Yy01OTI2LWJkMmEtM2ViZWUyZWE1MTU5Lmh0bWzSAZoBaHR0cHM6Ly9nYXpldHRlLmNvbS9idXNpbmVzcy90aHJlZS1hbGJlcnRzb25zLXN0b3Jlcy1pbi1jb2xvcmFkby1zcHJpbmdzLXRvLWJlY29tZS1zYWZld2F5LWdyb2Nlcmllcy9hcnRpY2xlX2Q0MmEwZWRkLTFhNmMtNTkyNi1iZDJhLTNlYmVlMmVhNTE1OS5hbXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
GLOCK Emerges Lowest Bidder In Philippines Army's Handgun ...,2017-07-20 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmRlZmVuc2V3b3JsZC5uZXQvMjAxNy8wNy8yMC9nbG9jay1lbWVyZ2VzLWxvd2VzdC1iaWRkZXItaW4tcGhpbGlwcGluZXMtYXJteXMtaGFuZGd1bi1hY3F1aXNpdGlvbi1wcm9qZWN0Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
