title,datetime,link,Negative,Neutral,Positive,Compound
BRIEF-Weatherford and Nabors form alliance for integrated drilling ...,2017-02-01 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0ZXTjFGTTE0U9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.545,0.455,0.7184
'Oil's Bernie Madoff' Seeks Another $1.8 Billion (NASDAQ:WFRD),2017-02-10 00:00:00,https://news.google.com/./articles/CBMixAFodHRwczovL3NlZWtpbmdhbHBoYS5jb20vYXJ0aWNsZS80MDQ0ODA5LW9pbHMtYmVybmllLW1hZG9mZi1zZWVrcy1hbm90aGVyLTFfOC1iaWxsaW9uP2hhc0NvbWVGcm9tTXBBcnRpY2xlPWZhbHNlJnNvdXJjZT1jb250ZW50X3R5cGUlMjUzQXJlYWN0JTI1N0NzZWN0aW9uJTI1M0FtYWluX2NvbnRlbnQlMjU3Q2J1dHRvbiUyNTNBYm9keV9saW5r0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Weatherford's UK Secure Drilling Services receives API Q2 ...,2017-02-14 00:00:00,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3Lmh5ZHJvY2FyYm9ucy10ZWNobm9sb2d5LmNvbS9uZXdzL25ld3N3ZWF0aGVyZm9yZC11ay1zZWN1cmUtZHJpbGxpbmctc2VydmljZXMtcmVjZWl2ZXMtYXBpLXEyLWNlcnRpZmljYXRpb24tNTczOTQ3MS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.612,0.388,0.5859
2017 Channel Chiefs By Company,2017-02-20 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LmNybi5jb20vbmV3cy9jaGFubmVsLXByb2dyYW1zLzMwMDA4MzgxMC8yMDE3LWNoYW5uZWwtY2hpZWZzLWJ5LWNvbXBhbnkuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
thebahamasweekly.com - The DNA announce four new candidates,2017-03-03 00:00:00,https://news.google.com/./articles/CBMiaGh0dHA6Ly93d3cudGhlYmFoYW1hc3dlZWtseS5jb20vcHVibGlzaC9iYWhhbWlhbi1wb2xpdGljcy9UaGVfRE5BX2Fubm91Y2VfZm91cl9uZXdfY2FuZGlkYXRlczUyODAxLnNodG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
thebahamasweekly.com - DNA Women: Call to action to be Bold for ...,2017-03-08 00:00:00,https://news.google.com/./articles/CBMic2h0dHA6Ly93d3cudGhlYmFoYW1hc3dlZWtseS5jb20vcHVibGlzaC9iYWhhbWlhbi1wb2xpdGljcy9ETkFfV29tZW5fQ2FsbF90b19hY3Rpb25fdG9fYmVfQm9sZF9mb3JfQ2hhbmdlNTI4NzQuc2h0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.588,0.412,0.6369
10 Biggest Recent Accounting Scandals in America,2017-03-27 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3Lmluc2lkZXJtb25rZXkuY29tL2Jsb2cvMTAtYmlnZ2VzdC1yZWNlbnQtYWNjb3VudGluZy1zY2FuZGFscy1pbi1hbWVyaWNhLTU2OTA1NS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.545,0.455,0.0,-0.7003
BRIEF-Weatherford International CEO Krishna Shivram's FY 2016 ...,2017-03-29 00:00:00,https://news.google.com/./articles/CBMitwFodHRwczovL21hcmtldHMuYnVzaW5lc3NpbnNpZGVyLmNvbS9uZXdzL3N0b2Nrcy9yLWJyaWVmLXdlYXRoZXJmb3JkLWludGVybmF0aW9uYWwtY2VvLWtyaXNobmEtc2hpdnJhbXMtZnktMjAxNi10b3RhbC1jb21wZW5zYXRpb24td2FzLTQzLW1sbi12ZXJzdXMtNDktbWxuLWluLWZ5LTIwMTUtMjAxNy0zLTEwMDE4Nzk2MzfSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
thebahamasweekly.com - DNA Unveils its Shadow Cabinet,2017-04-05 00:00:00,https://news.google.com/./articles/CBMiY2h0dHA6Ly93d3cudGhlYmFoYW1hc3dlZWtseS5jb20vcHVibGlzaC9iYWhhbWlhbi1wb2xpdGljcy9ETkFfVW52ZWlsc19pdHNfU2hhZG93X0NhYmluZXQ1MzM4Ni5zaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Rising Stars: Pharmaceuticals and Healthcare,2017-04-07 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmxlZ2FsYnVzaW5lc3MuY28udWsvZ2NzL2djLXBvd2VybGlzdC0yMDE3L3Jpc2luZy1zdGFycy1waGFybWFjZXV0aWNhbHMtYW5kLWhlYWx0aGNhcmUv0gFmaHR0cHM6Ly93d3cubGVnYWxidXNpbmVzcy5jby51ay9nY3MvZ2MtcG93ZXJsaXN0LTIwMTcvcmlzaW5nLXN0YXJzLXBoYXJtYWNldXRpY2Fscy1hbmQtaGVhbHRoY2FyZS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
