title,datetime,link,Negative,Neutral,Positive,Compound
Do you know what a mobile crawl of your site looks like?,2017-03-01 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vc2VhcmNoZW5naW5lbGFuZC5jb20va25vdy1tb2JpbGUtY3Jhd2wtc2l0ZS1sb29rcy1saWtlLTI3MDIyMNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.556,0.444,0.6124
INDesign Awards: In Perfect Form,2017-03-15 00:00:00,https://news.google.com/./articles/CBMiImh0dHBzOi8vdGhlaW5kLmNvbS9hcnRpY2xlcy8yNDcxOC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.139,0.861,0.9371
SEO and social: 1 + 1 = 3,2017-04-03 00:00:00,https://news.google.com/./articles/CBMiNGh0dHBzOi8vc2VhcmNoZW5naW5lbGFuZC5jb20vc2VvLXNvY2lhbC0xLTEtMy0yNzE5NzjSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Stop oversimplifying everything!,2017-05-23 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vc2VhcmNoZW5naW5lbGFuZC5jb20vc3RvcC1vdmVyc2ltcGxpZnlpbmctZXZlcnl0aGluZy0yNzU0MznSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.848,0.152,0.0,-0.6808
Indy Fuel anthem singer dies of heart attack after performing at ...,2017-08-14 00:00:00,https://news.google.com/./articles/CBMilQFodHRwczovL3d3dy5pbmR5c3Rhci5jb20vc3RvcnkvbmV3cy9sb2NhbC9oYW1pbHRvbi1jb3VudHkvMjAxNy8wOC8xNC9pbmR5LWZ1ZWwtYW50aGVtLXNpbmdlci1kaWVzLWhlYXJ0LWF0dGFjay1hZnRlci1wZXJmb3JtaW5nLWdyYW5kLXBhcmsvNTY0NzQ3MDAxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.426,0.574,0.0,-0.7351
Overland-based Sapper Consulting helps clients ditch the cold call ...,2017-08-18 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zdGxvdWlzL25ld3MvMjAxNy8wOC8xOC9vdmVybGFuZC1zdGFydHVwLWhlbHBzLWNsaWVudHMtZGl0Y2gtdGhlLWNvbGQtY2FsbC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.645,0.355,0.6597
The rise of personal assistants,2017-09-12 00:00:00,https://news.google.com/./articles/CBMiPGh0dHBzOi8vc2VhcmNoZW5naW5lbGFuZC5jb20vcmlzZS1wZXJzb25hbC1hc3Npc3RhbnRzLTI4MDY1ONIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Beyond TASER and Body Cameras: Rick Smith, CEO of Axon ...",2017-10-03 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LnR3c3QuY29tL25ld3MvYmV5b25kLXRhc2VyLWJvZHktY2FtZXJhcy1yaWNrLXNtaXRoLWNlby1heG9uLW5hc2RhcWFheG4tcmV2ZWFscy1zdHJhdGVneS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
What Retailers Can Learn From Walmart's Incredible E-Commerce Growth In 2017,2017-10-16 00:00:00,https://news.google.com/./articles/CBMikAFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2ZvcmJlc2NvbW11bmljYXRpb25zY291bmNpbC8yMDE3LzEwLzE2L3doYXQtcmV0YWlsZXJzLWNhbi1sZWFybi1mcm9tLXdhbG1hcnRzLWluY3JlZGlibGUtZS1jb21tZXJjZS1ncm93dGgtaW4tMjAxNy_SAZQBaHR0cHM6Ly93d3cuZm9yYmVzLmNvbS9zaXRlcy9mb3JiZXNjb21tdW5pY2F0aW9uc2NvdW5jaWwvMjAxNy8xMC8xNi93aGF0LXJldGFpbGVycy1jYW4tbGVhcm4tZnJvbS13YWxtYXJ0cy1pbmNyZWRpYmxlLWUtY29tbWVyY2UtZ3Jvd3RoLWluLTIwMTcvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.303,0.697,0.8807
"Elspeth Lynn Joins Geometry U.K., Deutsch Hires Bova",2017-11-21 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vYWRhZ2UuY29tL2FydGljbGUvY3JlYXRpdmUtbW92ZXJzL2x5bm4tam9pbnMtZ2VvbWV0cnktdS1rLzMxMTM1M9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.638,0.362,0.5267
